Date,mac,signal,vendor
1550575620.23,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575622.21,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575622.42,ac:5f:3e:e8:5a:6f,-11,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575622.83,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575625.23,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575625.43,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575626.78,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575627.2,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575627.72,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575627.93,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575628.76,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575629.07,da:a1:19:08:28:dc,-50,unknown
1550575629.18,da:a1:19:08:28:dc,-42,unknown
1550575629.18,da:a1:19:08:28:dc,-40,unknown
1550575629.19,da:a1:19:08:28:dc,-44,unknown
1550575629.59,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575629.7,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575629.7,ac:5f:3e:e8:5a:6f,-13,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575629.9,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575630.21,ac:5f:3e:e8:5a:6f,-12,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575630.22,ac:5f:3e:e8:5a:6f,-26,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575630.22,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575630.22,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575630.22,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575630.22,ac:5f:3e:e8:5a:6f,-14,SAMSUNG ELECTRO-MECHANICS(THAILAND)
1550575630.42,ac:5f:3e:e8:5a:6f,-11,SAMSUNG ELECTRO-MECHANICS(THAILAND)
